ID,Egg.n,Egg.size,Egg.dvpt,Nymph.hatch,Nymph.w,Mother.w.loss,Mot,Egg.2nd,Egg.w.2nd
B.22,72,0.0006067,27,30,1.5352,0.042477876,Yes,0,NA
C.30,72,0.0006126,28,69,1.5223,0.040856031,No,0,NA
B.20,74,0.0006119,28,71,1.4901,-0.168190128,NA,NA,NA
C.10,75,0.0005954,28,52,1.5487,0.005714286,NA,NA,NA
A.13,63,0.0005954,28,63,1.3307,0.068410463,Yes,51,0.0005682
C.01,75,0.0006556,27,49,1.7816,-0.052830189,No,53,0.0006619
B.08,75,0.0005983,28,75,1.439,0.041067762,NA,NA,NA
B.23,78,0.0006635,27,54,1.621,-0.003460208,NA,NA,NA
C.15,63,0.000603,27,54,1.2816,0.026726058,Yes,59,0.0005485
B.04,64,0.0006065,27,61,1.4248,-0.018223235,No,52,0.0005711
C.14,68,0.0005733,27,59,1.3252,-0.016842105,NA,NA,NA
B.11,74,0.000601,27,69,1.5525,0.021956088,NA,NA,NA
C.13,71,0.0006684,28,69,1.4318,-0.008016032,Yes,0,NA
A.18,67,0.0006558,26,59,1.636,-0.056,No,63,0.0005366
C.08,58,0.0006566,27,44,1.8207,0.007952286,NA,NA,NA
C.07,67,0.0005813,26,66,1.4808,0.028865979,NA,NA,NA
B.13,59,0.0006963,25,59,1.4695,0.031620553,Yes,54,0.0006415
B.01,67,0.0006277,24,66,1.5744,0.054474708,No,35,0.0006253
A.07,65,0.0006359,25,62,1.4354,0.016055046,NA,NA,NA
C.06,65,0.000664,26,63,1.6061,-0.015837104,NA,NA,NA
B.15,64,0.0006564,25,64,1.5704,0.072657744,Yes,53,0.0006447
A.23,67,0.0006477,26,62,1.4683,0.093023256,No,26,0.0005693
B.29,57,0.0006317,25,36,1.6449,0.063339731,NA,NA,NA
A.03,76,0.0007019,26,76,1.4605,0.019202363,NA,NA,NA
C.20,74,0.0006236,23,74,1.2488,0.047709924,Yes,48,0.0005541
A.27,76,0.0007506,23,74,1.716,0.022222222,No,36,0.0005384
A.02,70,0.000663,25,70,1.7214,0.016917293,NA,NA,NA
B.10,49,0.0007036,24,33,1.4473,0.162601626,NA,NA,NA
A.12,50,0.0006372,23,48,1.7187,-0.046875,Yes,41,0.000567
A.16,50,0.0007023,23,31,1.5585,-0.105566219,No,15,0.0008664
C.21,80,0.0006253,24,74,1.7427,0.058637084,NA,NA,NA
C.18,64,0.0006591,23,59,1.7161,-0.071146245,NA,NA,NA
C.29,66,0.0005848,24,60,1.3591,0,Yes,0,NA
A.28,65,0.0006208,24,64,1.7028,0.041818182,No,0,NA
C.26,64,0.0006116,22,63,1.4077,0.077253219,NA,NA,NA
C.24,77,0.0007369,25,67,1.5972,0.001930502,NA,NA,NA
B.07,77,0.000692,23,73,1.6393,0.023529412,Yes,54,0.0006073
A.21,72,0.0007176,21,71,1.5518,0.042833608,No,57,0.0005614
B.17,81,0.0006176,24,76,1.4539,0,NA,NA,NA
C.11,68,0.0006266,23,68,1.47,0.222405272,NA,NA,NA
C.23,72,0.0006343,22,68,1.2787,0.047524752,Yes,56,0.0005421
C.27,77,0.0006066,22,38,1.3252,-0.007490637,No,47,0.0007021
B.12,76,0.0006829,23,69,1.602,0.008210181,NA,NA,NA
A.01,69,0.0006478,24,66,1.5355,0.018255578,NA,NA,NA
C.05,75,0.0006834,22,71,1.5952,0.018771331,Yes,55,0.0005551
B.18,84,0.0006631,22,63,1.2983,-0.067961165,No,59,0.000684
A.09,68,0.0006553,23,48,1.7816,0.01025641,NA,NA,NA
B.16,80,0.0006843,23,74,1.6336,-0.028145695,NA,NA,NA
B.06,61,0.0005866,23,58,1.2715,0.052980132,Yes,0,NA
A.19,67,0.000681,25,40,1.6629,-0.065637066,No,59,0.0005955
C.04,69,0.000669,24,59,1.5487,0.036144578,NA,NA,NA
B.24,74,0.0006827,24,54,1.5574,0.006802721,NA,NA,NA
C.19,47,0.000598,23,47,1.4539,0.062827225,Yes,40,0.0006544
A.04,76,0.0006351,23,69,1.4656,-0.025466893,No,48,0.0005183
A.26,81,0.0006478,23,78,1.4009,0.019417476,NA,NA,NA
C.09,78,0.0006345,22,76,1.5202,0.043165468,NA,NA,NA
C.16,71,0.0005821,22,70,1.4315,0.033088235,Yes,40,0.0006544
B.26,58,0.0005877,22,50,1.3323,0.022675737,No,38,0.00075524
B.02,76,0.00065,23,71,1.5477,0.027823241,NA,NA,NA
A.15,68,0.0006217,23,63,1.4795,0.085769981,NA,NA,NA
A.11,89,0.0006505,23,49,1.7501,-0.074257426,Yes,25,0.0006072
B.05,81,0.0005896,23,75,1.5298,0.046554935,No,23,0.0005676
B.25,72,0.0006038,23,63,1.4994,0.032128514,NA,NA,NA
A.22,72,0.0006334,22,57,1.6658,-0.164444444,NA,NA,NA
A.05,72,0.0005536,23,62,1.4403,0.035864979,Yes,40,0.0005635
A.25,53,0.0006266,23,47,1.6132,0.022375215,No,46,0.0005529
C.03,68,0.0007049,23,68,1.3885,0.054507338,NA,NA,NA
A.14,61,0.0006778,23,60,1.5249,0.032310178,NA,NA,NA
A.08,60,0.0006134,25,46,1.6009,-0.007263923,Yes,49,0.0006348
B.14,76,0.0007022,25,49,1.1148,-0.045669291,No,40,0.0006216
A.20,76,0.000609,23,65,1.4148,-0.02259887,NA,NA,NA
A.10,64,0.000622,23,52,1.3645,0.002040816,NA,NA,NA
C.12,71,0.0005921,23,65,1.3238,0.015730337,Yes,0,NA
C.22,74,0.0005792,24,67,1.4182,0.007619048,No,42,0.0005023
B.21,75,0.0006139,24,62,1.114,-0.130260521,NA,NA,NA
C.02,91,0.0007018,24,85,1.6278,-0.04950495,NA,NA,NA
A.24,57,0.0006502,23,54,1.7209,-0.001876173,Yes,43,0.0005401
C.25,65,0.0006392,25,65,1.5244,0.01744186,No,49,0.0005586
C.28,79,0.0006257,24,73,1.6464,0.040219378,NA,NA,NA
B.03,66,0.0006812,23,66,1.2861,-0.016563147,NA,NA,NA
