Trt,0min,30min,60min,90min,120min,150min,,,,,,,,,,
Control,0.168,0.295,0.499,0.513,0.548,0.497,,,,,,,,,,
Control,0.104,0.211,0.373,0.517,0.586,0.6,,,,,,,,,,
Control,0.061,0.126,0.24,0.382,0.552,0.673,,,,,,,,,,
Control,0.179,0.311,0.448,0.523,0.55,0.54,,,,,,,,,,
Control,0.052,0.096,0.195,0.337,0.513,0.631,,,,,,,,,,
Control,0.053,0.097,0.188,0.325,0.495,0.64,,,,,,,,,,
Control,0.048,0.086,0.15,0.27,0.428,0.578,,,,,,,,,,
Control,0.051,0.096,0.177,0.307,0.478,0.605,,,,,,,,,,
Control,0.117,0.209,0.352,0.462,0.559,0.654,,,,,,,,,,
Control,0.189,0.316,0.464,0.542,0.563,0.558,,,,,,,,,,
Control,0.077,0.14,0.256,0.42,0.6,0.701,,,,,,,,,,
Control,0.064,0.12,0.216,0.364,0.545,0.675,,,,,,,,,,
Control,0.078,0.138,0.252,0.418,0.579,0.672,,,,,,,,,,
Control,0.102,0.174,0.293,0.474,0.603,0.655,,,,,,,,,,
Control,0.074,0.122,0.208,0.354,0.521,0.651,,,,,,,,,,
Control,0.055,0.105,0.187,0.309,0.507,0.6,,,,,,,,,,
Control,0.089,0.151,0.277,0.497,0.624,0.701,,,,,,,,,,
Control,0.081,0.141,0.252,0.38,0.587,0.696,,,,,,,,,,
Control,0.097,0.168,0.24,0.395,0.578,0.67,,,,,,,,,,
Control,0.082,0.152,0.276,0.421,0.583,0.672,,,,,,,,,,
Control,0.073,0.125,0.232,0.371,0.538,0.687,,,,,,,,,,
Control,0.075,0.142,0.241,0.426,0.575,0.685,,,,,,,,,,
Control,0.105,0.182,0.344,0.521,0.665,0.69,,,,,,,,,,
Control,0.076,0.138,0.251,0.399,0.608,0.674,,,,,,,,,,
Control,0.066,0.126,0.227,0.365,0.55,0.66,,,,,,,,,,
Control,0.051,0.127,0.23,0.38,0.545,0.639,,,,,,,,,,
Control,0.111,0.194,0.332,0.505,0.668,0.682,,,,,,,,,,
Control,0.082,0.156,0.243,0.455,0.546,0.666,,,,,,,,,,
